iso2_code,development_status_3,distributed_year,distributed_real_cost,distributed_length,cost_per_km_distributed
AE,EMDE,2010,1420.0,10.333333333333332,137.4193548387097
AE,EMDE,2016,580.0,3.0,193.33333333333334
AE,EMDE,2017,580.0,3.0,193.33333333333334
AE,EMDE,2018,580.0,3.0,193.33333333333334
AE,EMDE,2019,580.0,3.0,193.33333333333334
AE,EMDE,2020,580.0,3.0,193.33333333333334
AR,EMDE,2020,328.57142857142856,2.857142857142857,114.99999999999999
AR,EMDE,2021,328.57142857142856,2.857142857142857,114.99999999999999
AR,EMDE,2022,328.57142857142856,2.857142857142857,114.99999999999999
AR,EMDE,2023,328.57142857142856,2.857142857142857,114.99999999999999
AR,EMDE,2024,328.57142857142856,2.857142857142857,114.99999999999999
AR,EMDE,2025,328.57142857142856,2.857142857142857,114.99999999999999
AR,EMDE,2026,328.57142857142856,2.857142857142857,114.99999999999999
AT,AE,2019,223.894902,0.8181818181818182,273.64932466666664
AT,AE,2020,223.894902,0.8181818181818182,273.64932466666664
AT,AE,2021,223.894902,0.8181818181818182,273.64932466666664
AT,AE,2022,223.894902,0.8181818181818182,273.64932466666664
AT,AE,2023,223.894902,0.8181818181818182,273.64932466666664
AT,AE,2024,223.894902,0.8181818181818182,273.64932466666664
AT,AE,2025,223.894902,0.8181818181818182,273.64932466666664
AT,AE,2026,223.894902,0.8181818181818182,273.64932466666664
AT,AE,2027,223.894902,0.8181818181818182,273.64932466666664
AT,AE,2028,223.894902,0.8181818181818182,273.64932466666664
AT,AE,2029,223.894902,0.8181818181818182,273.64932466666664
AU,AE,2013,1075.7282818285714,5.142857142857143,209.1693881333333
AU,AE,2014,1075.7282818285714,5.142857142857143,209.1693881333333
AU,AE,2015,1075.7282818285714,5.142857142857143,209.1693881333333
AU,AE,2016,1075.7282818285714,5.142857142857143,209.1693881333333
AU,AE,2017,2560.6778934535714,8.892857142857142,287.947714926506
AU,AE,2018,3735.9885057379715,10.017857142857142,372.93289896849626
AU,AE,2019,3735.9885057379715,10.017857142857142,372.93289896849626
AU,AE,2020,2660.2602239094,4.875,545.6944049044923
AU,AE,2021,2660.2602239094,4.875,545.6944049044923
AU,AE,2022,2660.2602239094,4.875,545.6944049044923
AU,AE,2023,2660.2602239094,4.875,545.6944049044923
AU,AE,2024,2660.2602239094,4.875,545.6944049044923
AU,AE,2025,1175.3106122844,1.125,1044.7205442528
BD,EMDE,2015,536.7756108,2.6625,201.6058632112676
BD,EMDE,2016,536.7756108,2.6625,201.6058632112676
BD,EMDE,2017,536.7756108,2.6625,201.6058632112676
BD,EMDE,2018,536.7756108,2.6625,201.6058632112676
BD,EMDE,2019,536.7756108,2.6625,201.6058632112676
BD,EMDE,2020,1961.3680114499998,9.297420634920636,210.95829568936594
BD,EMDE,2021,1961.3680114499998,9.297420634920636,210.95829568936594
BD,EMDE,2022,1961.3680114499998,9.297420634920636,210.95829568936594
BD,EMDE,2023,1424.59240065,6.634920634920635,214.7112948348086
BD,EMDE,2024,1424.59240065,6.634920634920635,214.7112948348086
BD,EMDE,2025,1424.59240065,6.634920634920635,214.7112948348086
BD,EMDE,2026,1424.59240065,6.634920634920635,214.7112948348086
BD,EMDE,2027,539.87566206,2.177777777777778,247.90208972142852
BD,EMDE,2028,539.87566206,2.177777777777778,247.90208972142852
BE,AE,2020,329.9677648222222,0.5333333333333333,618.6895590416666
BE,AE,2021,329.9677648222222,0.5333333333333333,618.6895590416666
BE,AE,2022,329.9677648222222,0.5333333333333333,618.6895590416666
BE,AE,2023,329.9677648222222,0.5333333333333333,618.6895590416666
BE,AE,2024,329.9677648222222,0.5333333333333333,618.6895590416666
BE,AE,2025,329.9677648222222,0.5333333333333333,618.6895590416666
BE,AE,2026,329.9677648222222,0.5333333333333333,618.6895590416666
BE,AE,2027,329.9677648222222,0.5333333333333333,618.6895590416666
BE,AE,2028,329.9677648222222,0.5333333333333333,618.6895590416666
BG,EMDE,2010,280.03184129759995,3.4,82.36230626399998
BG,EMDE,2011,280.03184129759995,3.4,82.36230626399998
BG,EMDE,2012,285.42795371999995,3.66,77.98577970491802
BG,EMDE,2013,24.8751769944,1.26,19.742203963809523
BG,EMDE,2014,24.8751769944,1.26,19.742203963809523
BG,EMDE,2015,24.8751769944,1.26,19.742203963809523
BG,EMDE,2016,97.63803850573333,2.26,43.20267190519174
BG,EMDE,2017,92.24192608333334,2.0,46.12096304166667
BG,EMDE,2018,92.24192608333334,2.0,46.12096304166667
BG,EMDE,2019,92.24192608333334,2.0,46.12096304166667
BG,EMDE,2020,92.24192608333334,2.0,46.12096304166667
BG,EMDE,2021,92.24192608333334,2.0,46.12096304166667
BH,EMDE,2018,200.797872334,4.766666666666667,42.125427762377626
BH,EMDE,2019,200.797872334,4.766666666666667,42.125427762377626
BH,EMDE,2020,200.797872334,4.766666666666667,42.125427762377626
BH,EMDE,2021,200.797872334,4.766666666666667,42.125427762377626
BH,EMDE,2022,200.797872334,4.766666666666667,42.125427762377626
BH,EMDE,2023,200.797872334,4.766666666666667,42.125427762377626
BR,EMDE,2010,1374.389674405238,5.319047619047619,258.3901805059087
BR,EMDE,2011,1374.389674405238,5.319047619047619,258.3901805059087
BR,EMDE,2012,1504.389674405238,6.089047619047619,247.0648562016892
BR,EMDE,2013,1504.389674405238,6.089047619047619,247.0648562016892
BR,EMDE,2014,1504.389674405238,6.089047619047619,247.0648562016892
BR,EMDE,2015,1825.0080466719048,7.855714285714285,232.3159906656362
BR,EMDE,2016,1825.0080466719048,7.855714285714285,232.3159906656362
BR,EMDE,2017,988.6015951433333,5.57,177.4868213901855
BR,EMDE,2018,842.8361548766667,3.7366666666666664,225.55829300892063
BR,EMDE,2019,842.8361548766667,3.7366666666666664,225.55829300892063
BR,EMDE,2020,450.61837226666665,2.5366666666666666,177.6419338764783
BR,EMDE,2021,450.61837226666665,2.5366666666666666,177.6419338764783
BR,EMDE,2022,320.61837226666665,1.7666666666666666,181.48209750943397
BR,EMDE,2023,320.61837226666665,1.7666666666666666,181.48209750943397
CA,AE,2010,311.4713340444444,0.9555555555555555,325.9583728372093
CA,AE,2011,311.4713340444444,0.9555555555555555,325.9583728372093
CA,AE,2012,597.6531328044443,3.1355555555555554,190.60518055421684
CA,AE,2013,597.6531328044443,3.1355555555555554,190.60518055421684
CA,AE,2014,597.6531328044443,3.1355555555555554,190.60518055421684
CA,AE,2015,597.6531328044443,3.1355555555555554,190.60518055421684
CA,AE,2016,597.6531328044443,3.1355555555555554,190.60518055421684
CA,AE,2017,311.4713340444444,0.9555555555555555,325.9583728372093
