uitp_region,distributed_year,distributed_real_cost,distributed_length,cost_per_km_distributed
Asia-Pacific,2010,14127.886625839004,166.7863535908536,84.7064901994102
Asia-Pacific,2011,16191.629817048206,178.68238692418691,90.61682069379421
Asia-Pacific,2012,27130.85162454213,295.3950636918637,91.84598850589872
Asia-Pacific,2013,34932.100628298176,366.75460525030525,95.24652213830409
Asia-Pacific,2014,43252.87795893275,426.53053425463423,101.40628744086875
Asia-Pacific,2015,48311.367288939764,456.9416821622822,105.72764353719442
Asia-Pacific,2016,62565.64806350038,578.7649988289488,108.10198990971007
Asia-Pacific,2017,79294.35615317964,716.3106964479964,110.69827177840608
Asia-Pacific,2018,79785.07124207634,717.3740408924409,111.2182302314991
Asia-Pacific,2019,96230.49583406058,867.6812575591075,110.90535262311488
Asia-Pacific,2020,97254.91464280579,860.2253145576645,113.05748970293338
Asia-Pacific,2021,84491.25965989867,722.3171081363081,116.97253008155855
Asia-Pacific,2022,66130.09919410844,577.5958986124987,114.49198194268037
Asia-Pacific,2023,46006.41885196409,391.1835523088023,117.60826491919165
Asia-Pacific,2024,38113.24781039276,313.5741435786436,121.54461262471423
Asia-Pacific,2025,25602.681532459108,219.06055266955266,116.87490614104361
Asia-Pacific,2026,16314.30823415903,144.8100634920635,112.66004475616542
Asia-Pacific,2027,5450.506108400349,42.551206349206346,128.09286918141655
Asia-Pacific,2028,2817.1719767659597,19.276587301587302,146.14474713239224
Asia-Pacific,2029,1023.435418632143,4.390476190476191,233.10351183595444
Asia-Pacific,2030,602.9980335750001,3.3916666666666666,177.78811800737105
Asia-Pacific,2031,136.43659825000003,1.6,85.27287390625001
Asia-Pacific,2032,136.43659825000003,1.6,85.27287390625001
Eurasia,2010,1479.8165295431554,14.216888888888889,104.0886329708672
Eurasia,2011,1696.6887517653777,22.75272222222222,74.57080235033366
Eurasia,2012,1702.0848641877778,23.012722222222223,73.96277796914268
Eurasia,2013,1535.0551493060825,20.264507936507936,75.7509214689873
Eurasia,2014,1614.3890982386279,21.201098845598846,76.14648231187131
Eurasia,2015,1570.158117917489,23.581932178932178,66.58309870470453
Eurasia,2016,1783.4834141882013,35.85693217893218,49.73887351233274
Eurasia,2017,3363.794271354546,53.689616161616165,62.65260420616292
Eurasia,2018,3688.613254013784,61.5149494949495,59.96287543593979
Eurasia,2019,3342.417400413784,57.4274494949495,58.20243506909941
Eurasia,2020,2632.9564404964685,44.84316378066378,58.71477876482458
Eurasia,2021,3637.2750347291353,52.14983044733045,69.74663203176966
Eurasia,2022,3545.033108645802,50.14983044733045,70.68883537640174
Eurasia,2023,2930.205596398528,32.83899711399712,89.22944833627618
Eurasia,2024,1892.7890600378137,21.41439393939394,88.38863548483793
Eurasia,2025,1703.888139894697,17.005303030303033,100.19745821985119
Eurasia,2026,1703.888139894697,17.005303030303033,100.19745821985119
Eurasia,2027,582.0612665613636,6.671969696969697,87.2397946929715
Eurasia,2028,374.37490292499996,2.625,142.61901063809523
Eurasia,2029,374.37490292499996,2.625,142.61901063809523
Eurasia,2030,374.37490292499996,2.625,142.61901063809523
Eurasia,2031,374.37490292499996,2.625,142.61901063809523
Europe,2010,3427.8959236468872,22.07204038232299,155.30489543650046
Europe,2011,3268.6932374108874,21.064183239465848,155.17778212670808
Europe,2012,3184.6425270594905,19.674183239465847,161.869109802291
Europe,2013,3286.9521283256768,19.952971118253725,164.73497149097008
Europe,2014,3271.3518631413685,19.150698390981,170.82154375539685
Europe,2015,3613.0312018999757,20.0847856925683,179.88895959377135
Europe,2016,3534.0153639472346,17.8202876905703,198.31415885711417
Europe,2017,6336.249290757725,31.725505944538554,199.7209848074461
Europe,2018,6154.183709594115,30.062735381767993,204.71136879069275
Europe,2019,6428.633738698049,33.37260370788631,192.6320701545649
Europe,2020,7074.366581699459,36.673123188405796,192.90330265451783
Europe,2021,8497.89106272988,43.985980331262944,193.19544542900687
Europe,2022,8060.97040206173,44.44854761904762,181.3550910853012
Europe,2023,8033.489431366855,44.089893772893774,182.2070489157268
Europe,2024,7823.555760353327,42.13148684648685,185.69379687120386
Europe,2025,7342.744058818038,38.75759074259074,189.45305727554143
Europe,2026,6598.835837173705,32.26076534576535,204.54678512578712
Europe,2027,6121.09223208679,27.19767010767011,225.05943368879085
Europe,2028,5886.406338725457,25.22544788544789,233.35190579990535
Europe,2029,5132.257990190817,22.971601731601734,223.41750697908174
Europe,2030,3959.2335560836495,18.116753246753248,218.53990624910645
Latin America,2010,2746.679654121638,14.609047619047619,188.01223226491868
Latin America,2011,2746.679654121638,14.609047619047619,188.01223226491868
Latin America,2012,3127.929654121638,18.24154761904762,171.47282234186582
Latin America,2013,2695.634602976667,18.6272619047619,144.71448443464203
Latin America,2014,3520.50597831,24.615357142857142,143.02071499017745
Latin America,2015,3865.324350576667,27.84202380952381,138.8305813191091
Latin America,2016,3865.324350576667,27.84202380952381,138.8305813191091
Latin America,2017,3028.917899048095,25.556309523809524,118.51937762086521
Latin America,2018,2883.1524587814283,23.72297619047619,121.53418001316787
Latin America,2019,2773.5289587814286,22.07297619047619,125.65269562416876
Latin America,2020,2105.4611761714286,16.721904761904764,125.91036763754413
Latin America,2021,2250.256467504762,17.783809523809524,126.53399512022708
Latin America,2022,2120.256467504762,17.013809523809524,124.61973695765344
Latin America,2023,2120.256467504762,17.013809523809524,124.61973695765344
Latin America,2024,1799.638095238095,15.247142857142858,118.03116899341015
Latin America,2025,1298.2380952380952,9.907142857142858,131.04061523672192
Latin America,2026,811.9047619047619,6.9904761904761905,116.14441416893733
MENA,2010,1524.654205,10.947619047619046,139.26810919965206
MENA,2011,104.654205,0.6142857142857142,170.3673104651163
MENA,2012,651.9875383333334,4.614285714285714,141.29760892672863
MENA,2013,3118.761904761905,12.857142857142858,242.57037037037037
MENA,2014,6659.976190476191,49.28333333333333,135.13648002318953
MENA,2015,10503.142857142857,70.73333333333333,148.48929581257573
MENA,2016,11083.142857142857,73.73333333333333,150.3138723843968
MENA,2017,6692.642857142857,48.28333333333333,138.6118644903595
MENA,2018,5642.940729476857,42.875,131.61377794698208
MENA,2019,5642.940729476857,42.875,131.61377794698208
MENA,2020,8421.274062810191,64.55833333333334,130.44441558502942
MENA,2021,7105.559777095905,53.71547619047619,132.28142578312892
MENA,2022,7105.559777095905,53.71547619047619,132.28142578312892
MENA,2023,7105.559777095905,53.71547619047619,132.28142578312892
MENA,2024,6904.761904761905,48.94880952380952,141.06087506384222
MENA,2025,6904.761904761905,48.94880952380952,141.06087506384222
MENA,2026,2571.4285714285716,8.857142857142858,290.3225806451613
North America,2010,1834.238000711111,5.7588888888888885,318.50553745707117
North America,2011,2544.925500711111,7.7588888888888885,328.00128177574106
North America,2012,2831.107299471111,9.93888888888889,284.8514890468418
North America,2013,3238.507299471111,11.553888888888888,280.2958666657691
North America,2014,3493.052754016566,12.126616161616163,288.0484306143844
North America,2015,2696.052754016566,8.793282828282829,306.6036663059383
North America,2016,2696.052754016566,8.793282828282829,306.6036663059383
North America,2017,1949.7709552565657,6.343282828282828,307.3756930028583
North America,2018,1904.9662878787879,5.8543939393939395,325.3908615647403
North America,2019,2536.6935606060606,6.090757575757576,416.48243737406403
North America,2020,4570.118597284112,9.776147186147186,467.47645163935096
North America,2021,4570.118597284112,9.776147186147186,467.47645163935096
North America,2022,6520.760252377446,11.101147186147186,587.3951712409076
North America,2023,5986.860252377446,8.511147186147186,703.4140194545936
North America,2024,6925.321790838984,9.249608724608725,748.7151075281769
North America,2025,6670.776336293529,8.676881451881451,768.7988332313878
North America,2026,6319.08880916353,7.726881451881452,817.805844248441
North America,2027,4862.402828639721,4.431643356643357,1097.2008434186437
North America,2028,4412.402828639721,3.9066433566433565,1129.461388159814
North America,2029,4412.402828639721,3.9066433566433565,1129.461388159814
North America,2030,3780.6755559124476,3.67027972027972,1030.0783166532915
North America,2031,3028.2698602215387,2.2884615384615383,1323.2775859791598
North America,2032,938.4615384615385,0.7384615384615384,1270.8333333333335
North America,2033,938.4615384615385,0.7384615384615384,1270.8333333333335
