uitp_region,distributed_year,distributed_real_cost,distributed_length,cost_per_km_distributed
Asia-Pacific,2010,29420.632596332,166.7863535908536,176.39712100490098
Asia-Pacific,2011,32064.35584299867,178.68238692418691,179.44888914318815
Asia-Pacific,2012,51009.89433367688,295.3950636918637,172.6836382983264
Asia-Pacific,2013,61843.21368956433,366.75460525030525,168.62286881812196
Asia-Pacific,2014,73772.80948076202,426.53053425463423,172.96020696309736
Asia-Pacific,2015,82426.40290752969,456.9416821622822,180.3871393773529
Asia-Pacific,2016,108098.05383500588,578.7649988289488,186.7736543393733
Asia-Pacific,2017,137552.06430921223,716.3106964479964,192.02849404776185
Asia-Pacific,2018,136572.70594704556,717.3740408924409,190.37865626855393
Asia-Pacific,2019,167945.2997871105,867.6812575591075,193.55644520841787
Asia-Pacific,2020,175219.39531468626,860.2253145576645,203.69011740230596
Asia-Pacific,2021,152708.45647057946,722.3171081363081,211.41470242147707
Asia-Pacific,2022,121697.18260107948,577.5958986124987,210.6960643131652
Asia-Pacific,2023,85392.41970144155,391.1835523088023,218.2924593773113
Asia-Pacific,2024,69777.1169411241,313.5741435786436,222.52190867779305
Asia-Pacific,2025,50416.142346275614,220.84055266955266,228.29204933984255
Asia-Pacific,2026,32010.859752047618,146.5900634920635,218.36991532363112
Asia-Pacific,2027,10450.015102142857,44.33120634920635,235.72593580751817
Asia-Pacific,2028,6309.808223809524,21.0565873015873,299.6595855461286
Asia-Pacific,2029,2697.130357142857,6.17047619047619,437.1024656582806
Asia-Pacific,2030,1110.9075,3.3916666666666666,327.54029484029485
Asia-Pacific,2031,282.2,1.6,176.37499999999997
Asia-Pacific,2032,282.2,1.6,176.37499999999997
Eurasia,2010,2977.083036231884,18.355294685990337,162.19205886703307
Eurasia,2011,3486.569147342995,26.89112801932367,129.65499791743898
Eurasia,2012,3500.513147342995,27.15112801932367,128.92698766886048
Eurasia,2013,3036.8278854382334,24.402913733609385,124.4452985651342
Eurasia,2014,3316.000188468536,25.339504642700295,130.86286552266114
Eurasia,2015,3074.3479855699857,23.581932178932178,130.3687909134338
Eurasia,2016,4162.058996998557,35.85693217893218,116.07404047365723
Eurasia,2017,8346.789282712842,53.689616161616165,155.46375406349313
Eurasia,2018,9395.75512080808,61.5149494949495,152.73937795526422
Eurasia,2019,8730.63012080808,57.4274494949495,152.02886768592958
Eurasia,2020,7293.979081601731,44.84316378066378,162.65531837311778
Eurasia,2021,9883.354414935066,52.14983044733045,189.51843812640803
Eurasia,2022,9606.687748268398,50.14983044733045,191.5597253784888
Eurasia,2023,7763.7935768398265,32.83899711399712,236.41993541668265
Eurasia,2024,5301.465541125541,21.41439393939394,247.56551860069035
Eurasia,2025,4702.373333333333,17.005303030303033,276.52393638348104
Eurasia,2026,4702.373333333333,17.005303030303033,276.52393638348104
Eurasia,2027,1669.04,6.671969696969697,250.15701146815033
Eurasia,2028,1000.1,2.625,380.9904761904762
Eurasia,2029,1000.1,2.625,380.9904761904762
Eurasia,2030,1000.1,2.625,380.9904761904762
Eurasia,2031,1000.1,2.625,380.9904761904762
Europe,2010,3459.9013416305916,22.07204038232299,156.75493890458583
Europe,2011,3310.2584844877347,21.064183239465848,157.15104862388566
Europe,2012,3211.5093178210677,19.674183239465847,163.23469588200604
Europe,2013,3296.126363275613,19.952971118253725,165.19476441582142
Europe,2014,3293.6643935786437,19.150698390981,171.98664645722747
Europe,2015,3655.681226911977,20.0847856925683,182.01245872713687
Europe,2016,3605.502558635809,17.8202876905703,202.3257211803421
Europe,2017,6891.815316572317,31.725505944538554,217.23263700255413
Europe,2018,6726.939486846487,30.062735381767993,223.76338684490244
Europe,2019,7056.917661449662,33.37260370788631,211.45840831658077
Europe,2020,7882.092488289489,36.673123188405796,214.928312699078
Europe,2021,9679.931636918636,43.985980331262944,220.06856648454973
Europe,2022,9341.109136918636,44.44854761904762,210.15555371972766
Europe,2023,9311.696636918638,44.089893772893774,211.19798303173545
Europe,2024,9125.779377178378,42.13148684648685,216.60235752964732
Europe,2025,8581.56653013653,38.75759074259074,221.41640813360053
Europe,2026,7757.480022200022,32.26076534576535,240.4617478555354
Europe,2027,7209.8348317238315,27.19767010767011,265.09016409058364
Europe,2028,6932.212609501609,25.22544788544789,274.8102884429132
Europe,2029,6047.17543001443,22.971601731601734,263.2457022661772
Europe,2030,4515.983207792208,18.116753246753248,249.27111090402082
Latin America,2010,3598.8358904761903,14.609047619047619,246.34295022653933
Latin America,2011,3598.8358904761903,14.609047619047619,246.34295022653933
Latin America,2012,4375.210890476191,18.24154761904762,239.84866754987635
Latin America,2013,3858.2263190476187,18.6272619047619,207.1279363963469
Latin America,2014,5259.2596523809525,24.615357142857142,213.65766183518807
Latin America,2015,5885.720985714285,27.84202380952381,211.39702436792618
Latin America,2016,5885.720985714285,27.84202380952381,211.39702436792618
Latin America,2017,5017.578128571428,25.556309523809524,196.33422125744735
Latin America,2018,4852.244795238095,23.72297619047619,204.53777621654717
Latin America,2019,4611.073095238095,22.07297619047619,208.9012852388991
Latin America,2020,3875.9929523809524,16.721904761904764,231.79135436837907
Latin America,2021,4220.659619047619,17.783809523809524,237.33158035666472
Latin America,2022,3921.659619047619,17.013809523809524,230.49862016849056
Latin America,2023,3921.659619047619,17.013809523809524,230.49862016849056
Latin America,2024,3452.3262857142854,15.247142857142858,226.4244729691745
Latin America,2025,2409.4142857142856,9.907142857142858,243.19971160778655
Latin America,2026,1485.3809523809523,6.9904761904761905,212.48637602179835
MENA,2010,3056.5714285714284,10.947619047619046,279.1996520226186
MENA,2011,428.57142857142856,0.6142857142857142,697.6744186046512
MENA,2012,1228.5714285714284,4.614285714285714,266.25386996904024
MENA,2013,7228.571428571428,12.857142857142858,562.2222222222222
MENA,2014,13288.581428571428,49.28333333333333,269.6364172182231
MENA,2015,20479.29142857143,70.73333333333333,289.5281540325838
MENA,2016,21581.29142857143,73.73333333333333,292.6938258847843
