development_status_3,distributed_year,distributed_real_cost,distributed_length,cost_per_km_distributed
AE,2010,11673.47791976912,52.56420127698389,222.08038239288433
AE,2011,13589.972112626263,58.29634413412674,233.11877124505102
AE,2012,14826.393855050504,58.16037010815272,254.92261874331146
AE,2013,15243.63167972583,61.969742402525014,245.9850741465195
AE,2014,18268.431367676767,68.52845452373714,266.58169215459077
AE,2015,17932.993655555554,66.40193576471837,270.06733236057204
AE,2016,18384.846415850818,66.12368776272037,278.0372214239379
AE,2017,21555.0057015651,77.46085046113308,278.2696752391143
AE,2018,19209.914371839273,66.58030212058473,288.5224872823176
AE,2019,21692.6672518537,79.84558170211432,271.6827504968791
AE,2020,23933.107013758465,80.7219669834996,296.48815444066963
AE,2021,25336.147796153848,86.05164230817492,294.42956713618594
AE,2022,27083.54487948718,87.35170959595959,310.05168650688796
AE,2023,25732.72928785659,81.68141072816073,315.03776757108454
AE,2024,26068.613566577867,78.67521534021535,331.3446738448611
AE,2025,21039.881113475414,65.70283438783439,320.2279065965407
AE,2026,17459.985920834722,50.02812298812299,349.00341803708767
AE,2027,14579.395363691865,38.19478965478965,381.7116286138154
AE,2028,13851.773141469643,35.69756743256743,388.0312900209682
AE,2029,12398.610961982462,31.26872127872128,396.51800441292295
AE,2030,9697.78860989011,25.178699633699633,385.15843752750493
AE,2031,3505.4615384615386,3.8884615384615384,901.5034619188922
AE,2032,1220.6615384615384,2.3384615384615386,521.9934210526316
AE,2033,938.4615384615385,0.7384615384615384,1270.8333333333335
AE,2034,938.4615384615385,0.7384615384615384,1270.8333333333335
AE,2035,938.4615384615385,0.7384615384615384,1270.8333333333335
AE,2036,938.4615384615385,0.7384615384615384,1270.8333333333335
EMDE,2010,32650.31304013964,185.9650429377386,175.57231469072937
EMDE,2011,31820.07284791742,191.32357627107191,166.31548222177264
EMDE,2012,51252.41942950472,316.85472706472274,161.75368410721416
EMDE,2013,67179.84817283806,392.179041350437,171.29892495404562
EMDE,2014,84076.94339729693,488.51758940238506,172.10627666477723
EMDE,2015,100206.51049995393,541.5751042402043,185.02791157754075
EMDE,2016,127565.84101028727,676.687170906871,188.5152349487109
EMDE,2017,151770.12238528728,804.4478937784438,188.66370781634103
EMDE,2018,151934.86869454916,814.8237937784438,186.4634659108412
EMDE,2019,180880.1184019301,949.6744628260628,190.46539154444878
EMDE,2020,190857.62084268048,952.0760198246198,200.46468650459028
EMDE,2021,169234.52236480746,813.6767095071596,207.98742349072776
EMDE,2022,137706.9955786408,666.67299998335,206.55853106707488
EMDE,2023,100346.84159920491,465.67146536796537,215.48849148382456
EMDE,2024,81839.03746983982,371.8903701298701,220.0622657727338
EMDE,2025,65066.03281871429,278.4334458874459,233.68612420584208
EMDE,2026,41594.658909190475,169.40250937950938,245.53744251808402
EMDE,2027,9902.119745,44.437699855699854,222.831509667571
EMDE,2028,5092.972866666667,17.11611111111111,297.55432373657055
EMDE,2029,2048.42,4.405,465.02156640181613
EMDE,2030,1000.1,2.625,380.9904761904762
EMDE,2031,1000.1,2.625,380.9904761904762
