,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Austrian schilling   (ATS)                     ,Belgian franc   (BEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Deutsche mark   (DEM)                     ,Estonian kroon   (EEK)                     ,Euro   (EUR)                     ,Finnish markka   (FIM)                     ,French franc   (FRF)                     ,Greek drachma   (GRD)                     ,Indian rupee   (INR)                     ,Irish pound   (IEP)                     ,Israeli New Shekel   (ILS)                     ,Italian lira   (ITL)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Luxembourg franc   (LUF)                     ,Malaysian ringgit   (MYR)                     ,Maltese lira   (MTL)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Netherlands guilder   (NLG)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Portuguese escudo   (PTE)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Spanish peseta   (ESP)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,,,,,,,,,,,,,Taiwan
Country Name,Algeria,Australia,Austria,Belgium,Botswana,Brazil,Brunei Darussalam,Canada,Chile,China,Czechia,Denmark,Germany,Estonia,Euro Area,Finland,France,Greece,India,Ireland,Israel,Italy,Japan,"Korea, Rep.",Kuwait,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Netherlands,New Zealand,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Russian Federation,Saudi Arabia,Singapore,South Africa,Spain,Sweden,Switzerland,Thailand,Trinidad and Tobago,United Arab Emirates,United Kingdom,United States,Uruguay,Bangladesh,Bahrain,"Egypt, Arab Rep.","Hong Kong SAR, China",Hungary,Indonesia,"Iran, Islamic Rep.",Pakistan,Romania,Turkiye,Viet Nam,Ukraine,Taiwan
Currency Code,DZD,AUD,ATS,BEF,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,DEM,EEK,EUR,FIM,FRF,GRD,INR,IEP,ILS,ITL,JPY,KRW,KWD,LUF,MYR,MTL,MUR,MXN,NLG,NZD,NOK,OMR,PEN,PHP,PLN,PTE,QAR,RUB,SAR,SGD,ZAR,ESP,SEK,CHF,THB,TTD,AED,GBP,USD,UYU,BDT,BHD,EGP,HKD,HUF,IDR,IRR,PKR,RON,TRY,VND,UAH,TWD
1994,0.028523752,0.731127319,0.087551683,0.02988956,0.372488658,1.504475406,0.654688415,0.732239469,0.002379951,0.116026205,0.034740216,0.157219067,0.616221096,0.076974887,,0.191442061,0.180113814,0.004121964,0.031873787,1.495599718,0.332109487,0.000620176,0.009783989,0.001244134,3.368474211,0.02988956,0.381060288,2.646055074,0.055678151,0.296286054,0.549452034,0.592936349,0.141691544,2.600780234,0.455580866,0.037854173,0.440087255,0.006024359,0.274725275,,0.266666667,0.654688415,0.281626808,0.007465029,0.129601333,0.731158502,0.039761507,0.168778389,0.272405339,1.530393764,1,0.198258628,0.02486836,2.659574716,0.295409339,0.12939261,0.009509278,0.000462801,0.000571698,0.032715456,6.041982717,33.77388457,9.12E-05,3.053303038,0.037800038
1995,0.020980755,0.741271986,0.09919163,0.033921283,0.360723467,1.089720305,0.705529588,0.728626426,0.002520331,0.119740164,0.037678029,0.178495993,0.697772188,0.087223882,,0.229007634,0.200341281,0.00431662,0.030838426,1.603249916,0.332083408,0.000613899,0.010631559,0.001296589,3.350670587,0.033921283,0.399296573,2.832389793,0.057516495,0.155777192,0.622790941,0.656221085,0.157849293,2.600780234,0.443786982,0.038888615,0.412373968,0.006617892,0.274725275,,0.266666667,0.705529588,0.275703492,0.008019954,0.140188193,0.845688013,0.040136181,0.16812951,0.272405339,1.578113161,1,0.157505119,0.024827253,2.659574674,0.294793215,0.129268555,0.007956625,0.00044472,0.000571968,0.031602882,4.918171866,21.81260057,9.06E-05,0.678852061,0.037770056
1996,0.018265196,0.782556298,0.094459412,0.032298163,0.30082456,0.994925878,0.70919932,0.733395037,0.002425614,0.120276516,0.03683931,0.172453289,0.664551547,0.083070277,,0.217696553,0.195483453,0.00415435,0.028222141,1.59992738,0.313317563,0.00064811,0.009192946,0.001243074,3.339917833,0.032298163,0.397465363,2.774264724,0.055716307,0.131588498,0.593156135,0.687357266,0.155043367,2.600780234,0.407608696,0.038144499,0.370906124,0.006483249,0.274725275,0.195280716,0.266666667,0.70919932,0.232593344,0.007895054,0.149121173,0.809054943,0.039459121,0.166526068,0.272405339,1.560164008,1,0.125441659,0.023926783,2.659574698,0.294856233,0.129294949,0.006551077,0.000426931,0.000571041,0.027717198,3.242313488,12.28427407,9.06E-05,0.546606825,0.036419259
1997,0.017328815,0.742181122,0.081938708,0.027953347,0.273915318,0.927650956,0.673488733,0.722231275,0.002384956,0.120629929,0.031547317,0.151412852,0.5766827,0.072037027,,0.192624968,0.171329934,0.003662228,0.02753813,1.515971227,0.289909693,0.000587166,0.008265087,0.001052753,3.296534829,0.027953347,0.355468137,2.59090095,0.047489563,0.126287182,0.512486761,0.661191633,0.141374711,2.600780234,0.375351892,0.033932055,0.304943903,0.005704102,0.274725275,0.172865827,0.266666667,0.673488733,0.217015694,0.006829965,0.130977585,0.68903148,0.031883348,0.159957046,0.272396064,1.637100323,1,0.105911634,0.022783135,2.659574716,0.295094061,0.1291642,0.00535363,0.000343716,0.000570338,0.024324079,1.395100315,6.584795707,8.56E-05,0.537155493,0.034889401
1998,0.017024476,0.628208444,0.080781545,0.027549241,0.236637103,0.861685169,0.597513745,0.674079155,0.002172555,0.120788143,0.030977815,0.149235318,0.568289147,0.07104964,,0.187123443,0.16950544,0.003383761,0.024236922,1.423951726,0.263152701,0.000575968,0.00763911,0.000712665,3.281317452,0.027549241,0.254817646,2.574270863,0.041679431,0.109456593,0.504100098,0.535260509,0.132536392,2.600780234,0.341296928,0.024454033,0.287736663,0.005552333,0.274725275,0.103038786,0.266666667,0.597513745,0.180887952,0.00669365,0.125788249,0.689743979,0.024178308,0.158772813,0.272294078,1.656112828,1,0.095493502,0.021319393,2.659574733,0.295159386,0.129110002,0.004664143,9.99E-05,0.000570683,0.022199201,1.126687461,3.83546985,7.54E-05,0.408239637,0.029899836
1999,0.015020907,0.645182103,1.065776448,1.065776448,0.216244492,0.551288325,0.589985585,0.673081212,0.001965499,0.120798478,0.028927443,0.143343692,1.065776448,0.068131107,1.065776448,1.065776448,1.065776448,0.003271752,0.023225875,1.065776448,0.241562426,1.065776448,0.008779107,0.000840732,3.284992839,1.065776448,0.263157895,2.506904045,0.0397049,0.104598161,1.065776448,0.529208639,0.128218745,2.600780234,0.295566502,0.025582656,0.252072773,1.065776448,0.274725275,0.040617549,0.266666667,0.589985585,0.16367994,1.065776448,0.121029794,0.665710263,0.026445473,0.158757878,0.272294078,1.617974153,1,0.088188865,0.020372657,2.659574615,0.294529122,0.128907509,0.004216815,0.000127305,0.000570335,0.020201738,0.652195003,2.387871998,7.17E-05,0.24210486,0.030992376
2000,0.013287308,0.579768402,0.923612549,0.923612549,0.195992284,0.546620401,0.580058741,0.673222011,0.001853268,0.120794769,0.025907798,0.123714235,0.923612549,0.058932254,0.923612549,0.923612549,0.923612549,0.002736738,0.022251097,0.923612549,0.245258339,0.923612549,0.009279408,0.000884672,3.259966873,0.923612549,0.263157895,2.282323449,0.038095879,0.105757901,0.923612549,0.454308147,0.113612587,2.600780234,0.286532951,0.022628402,0.23009267,0.923612549,0.274725275,0.035550289,0.266666667,0.580058741,0.144095783,0.923612549,0.109143566,0.592121527,0.024930318,0.158735282,0.272294078,1.513017625,1,0.082647417,0.01917852,2.659574468,0.288014286,0.128350482,0.003543848,0.00011874,0.000566618,0.018639959,0.460644369,1.599440835,7.06E-05,0.183815645,0.03202562
2001,0.012950848,0.517212175,0.895629528,0.895629528,0.171191349,0.425598614,0.558122142,0.645644501,0.001574956,0.120815724,0.026291347,0.120151619,0.895629528,0.05721455,0.895629528,0.895629528,0.895629528,0.895629528,0.021192541,0.895629528,0.237775374,0.895629528,0.008228492,0.000774719,3.260710074,0.895629528,0.263157895,2.222016974,0.034329745,0.107039545,0.895629528,0.420388712,0.111214242,2.600780234,0.28515755,0.019610669,0.244265859,0.895629528,0.274725275,0.03428353,0.266666667,0.558122142,0.11615507,0.895629528,0.09681352,0.592552211,0.022506352,0.16043081,0.272294078,1.439563524,1,0.075080054,0.017919006,2.659574468,0.251698968,0.128225677,0.003490523,9.75E-05,0.00057013,0.016148003,0.344106249,0.815934826,6.79E-05,0.186144923,0.029585799
2002,0.012549902,0.543312167,0.945573725,0.945573725,0.158033016,0.342423183,0.558475659,0.636803619,0.001451512,0.120817341,0.03054506,0.12666703,0.945573725,0.060198203,0.945573725,0.945573725,0.945573725,0.945573725,0.020571764,0.945573725,0.211067315,0.945573725,0.007975244,0.000798976,3.290401798,0.945573725,0.263157895,2.306164891,0.033375609,0.103562999,0.945573725,0.462493867,0.125253971,2.600780234,0.284373667,0.019378505,0.245096037,0.945573725,0.274725275,0.03189947,0.266666667,0.558475659,0.09486994,0.945573725,0.102699736,0.64159835,0.023277422,0.160033714,0.272294078,1.498748545,1,0.047043401,0.017274737,2.659574468,0.222238684,0.128222937,0.003877672,0.000107398,0.00014478,0.016743749,0.302522157,0.663470325,6.54E-05,0.187736137,0.028922632
2003,0.012920735,0.648544531,1.131160392,1.131160392,0.202033807,0.324941701,0.573992404,0.713768463,0.001446346,0.120816186,0.035449679,0.151798662,1.131160392,0.072168758,1.131160392,1.131160392,1.131160392,1.131160392,0.021466928,1.131160392,0.219580747,1.131160392,0.008625637,0.000839176,3.355574967,1.131160392,0.263157895,2.650879208,0.035840399,0.092686831,1.131160392,0.580686659,0.141238616,2.600780234,0.287482963,0.01844905,0.257130552,1.131160392,0.274725275,0.032581754,0.266666667,0.573992404,0.13219209,1.131160392,0.12366589,0.742582988,0.024105321,0.158853712,0.272294078,1.632726367,1,0.035450077,0.017196893,2.659574468,0.170914607,0.128423283,0.004458182,0.000116589,0.000122042,0.017315419,0.301204177,0.666273473,6.45E-05,0.187522679,0.029054564
