Country,City,Line,Phase,Start_year,End_year,RR,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform_length_meters,Source1,Cost,Currency,Year,PPP_rate,Real_cost,Cost_km_millions,Anglo,Inflation_index,Real_cost_2023_dollars,Cost_km_2023_dollars,Source2,Reference1,Reference2,Reference3,Comments
TR,Istanbul,M4,M4 Phase 3,2015,2022,0,7.5,100,7.5,0,0,4,180,Plan,170,EUR,2018,3,510,68,0,1.21343491,618.8518042,82.51357389,Plan,https://www.metro.istanbul/Hatlarimiz/ProjeHalindekiHatlar?projeInsaat=0&q=36,NaN,NaN,NaN
CA,Vancouver,Millennium,Broadway,2020,2025,0,5.7,88,5,0.295,0.446,6,NaN,Plan,2830,CAD,2018,0.84,2377.2,417.0526316,1,1.21343491,2884.577469,506.0662226,Media,https://www.translink.ca/Plans-and-Projects/Rapid-Transit-Projects/Broadway-Subway-Project.aspx,NaN,NaN,NaN
CA,Toronto,YUS,Vaughan,2009,2017,0,8.6,100,8.6,0,0,6,NaN,Media,3200,CAD,2013,0.81,2592,301.3953488,1,1.307975292,3390.271956,394.2176693,Media,https://www.thestar.com/news/gta/transportation/2017/12/15/trudeau-wynne-tory-on-hand-to-cut-ribbon-on-32-billion-subway-extension.html,NaN,NaN,NaN
CA,Toronto,Scarborough,Scarborough,2020,2030,0,7.8,100,7.8,0,0,3,NaN,Wiki,5500,CAD,2018,0.84,4620,592.3076923,1,1.21343491,5606.069285,718.7268314,Media,https://urbantoronto.ca/news/2020/03/metrolinxs-preliminary-business-case-scarborough-subway-extension-raises-questions,NaN,NaN,NaN
CA,Toronto,Ontario,Ontario,2022,2031,0,15.5,57,8.8,5.76,1.06,15,NaN,Plan,27200,CAD,2023,0.84,22848,1474.064516,1,1,22848,1474.064516,Plan,https://globalnews.ca/news/10579363/ontario-line-cost-increase/,NaN,NaN,Cost: This includes a 30-year operating and maintenance contract; pure construction cost is somewhat lower.
CA,Toronto,YUS,Yonge to Richmond Hill,2020,2030,0,7.4,100,7.4,0,0,6,NaN,Plan,5600,CAD,2020,0.84,4704,635.6756757,1,1.17731472,5538.088443,748.3903301,Media,https://www.thestar.com/news/gta/2020/06/24/metrolinx-considering-a-route-for-the-yonge-subway-extension-to-richmond-hill-that-would-take-it-above-ground.html,NaN,NaN,NaN
NL,Amsterdam,Amsterdam North South,Amsterdam North South,2003,2018,0,9.7,73,7.1,0,0,8,NaN,Wiki,3100,EUR,2009,1.3,4030,415.4639175,0,1.420277155,5723.716935,590.0739108,Media,https://www.at5.nl/artikelen/184604/zaterdag-noordzuidlijn-eindelijk-open-de-opvallendste-feiten,NaN,NaN,NaN
CA,Montreal,Blue Line,NaN,2020,2026,0,5.8,100,5.8,0,0,5,NaN,Media,4500,CAD,2018,0.84,3780,651.7241379,1,1.21343491,4586.783961,790.8248208,Media,https://montrealgazette.com/news/local-news/montreal-metro-green-light-for-blue-line-extension,NaN,NaN,NaN
US,Seattle,U-Link,U-Link,2009,2016,0,5.1,100,5.1,0,0,2,NaN,Media,1756,USD,2012,1,1756,344.3137255,1,1.327133984,2330.447276,456.9504464,Plan,https://www.soundtransit.org/sites/default/files/documents/2018-q3-link-light-rail_0.pdf,NaN,NaN,NaN
US,Los Angeles,Purple Line,Purple Phase 3,2020,2027,0,4.2,100,4.2,0,0,2,NaN,Media,3600,USD,2023,1,3600,857.1428571,1,1,3600,857.1428571,Media,https://la.streetsblog.org/2020/03/24/metro-signs-1-3-billion-full-funding-grant-agreement-for-westside-subway-phase-3/,NaN,NaN,NaN
US,Los Angeles,Purple Line,Purple Phase 2,2018,2026,0,4.2,100,4.2,0,0,2,NaN,Trade,2400,USD,2021,1,2400,571.4285714,1,1.124486105,2698.766653,642.5634888,Trade,https://www.railjournal.com/in_depth/transit-projects-fly-in-the-city-of-angels,NaN,NaN,NaN
US,Los Angeles,Purple Line,Purple Phase 1,2014,2024,0,6.3,100,6.3,0,0,3,NaN,Media,2800,USD,2018,1,2800,444.4444444,1,1.21343491,3397.617749,539.3044045,Media,https://la.streetsblog.org/2018/04/25/metro-celebrates-purple-line-extension-1-tunnel-machines-set-to-start-in-august/,NaN,NaN,Cost: There is a cost overrun of unidentified size. https://la.streetsblog.org/2020/06/09/metro-purple-line-extension-section-1-difficult-tunnelling-resulting-in-cost-overruns/
US,Los Angeles,Regional Connector,Regional Connector,2014,2022,0,3.1,100,3.1,0,0,3,NaN,Plan,1756,USD,2018,1,1756,566.4516129,1,1.21343491,2130.791702,687.352162,Plan,https://www.metro.net/projects/connector/,NaN,NaN,NaN
US,San Francisco,Central Subway,Central Subway,2010,2021,0,2.7,100,2.7,0,0,4,NaN,Media,1670,USD,2014,1,1670,618.5185185,1,1.287096175,2149.450612,796.0928191,Media,https://www.sfchronicle.com/bayarea/article/Central-Subway-tab-likely-to-grow-by-55M-as-14447857.php,NaN,NaN,NaN
US,Boston,Green Line,Green Line Extension,2013,2022,0,7.6,0,0,0.78,6.82,7,NaN,Plan,2289,USD,2020,1,2289,301.1842105,1,1.17731472,2694.873394,354.5886045,Plan,https://www.ctps.org/data/pdf/plans/TIP/FFYs-2020-2024-Final-TIP-20190730.pdf,NaN,NaN,"RR?: It's in the same right-of-way as a commuter line so it can plausibly be 1 and not 0., Stations: Only 6 new stops, but Lechmere is rebuilt, so 7., Cost: Including rolling stock, which is $118 million per https://www.railwaygazette.com/long-reads/boston-building-a-better-t/55983.article, for a total balance of 2,182."
CA,Ottawa,Confederation,Confederation,2013,2019,0,12.5,20,2.5,0.84,9.16,13,NaN,Trade,2100,CAD,2016,0.83,1743,139.44,1,1.269554638,2212.833734,177.0266987,Trade,https://www.aecom.com/projects/ottawa-light-rail/,NaN,NaN,NaN
US,San Francisco,BART to San Jose,BART to San Jose,2024,2036,0,9.6,83,8,0,0,4,NaN,Plan,12200,USD,2030,1,12200,1270.833333,1,1,12200,1270.833333,Media,https://www.mercurynews.com/2024/03/11/san-jose-bart-extension-price-tag-balloons-once-again-this-time-by-600-million/,NaN,NaN,NaN
BG,Sofia,Line 1,Line 1 northern,2009,NaN,0,5.1,60,3.1,0,0,4,NaN,Measured,407,BGN,2010,1.69,687.83,134.8686275,0,1.397356642,961.1438193,188.4595724,Media,https://www.novinite.com/articles/167648/Subway+Trains+to+Sofia+Airport+Start+Running+at+1+pm+on+April+2,NaN,NaN,NaN
BG,Sofia,Line 1,Line 1 southern,2013,2015,0,3,100,3,0,0,3,NaN,Media,44,EUR,2014,3.32,146.08,48.69333333,0,1.287096175,188.0190092,62.67300306,Media,https://www.novinite.com/articles/168384/Subway+Extension+to+Business+Park+Sofia+Opens,NaN,NaN,NaN
BG,Sofia,Line 2,Line 2,2008,2012,0,17,90,15.3,0,0,11,NaN,Trade,952,EUR,2010,3.32,3160.64,185.92,0,1.397356642,4416.541298,259.7965469,Trade,https://www.railway-technology.com/uncategorised/newsbulgaria-opens-sofia-metro-line-2/,NaN,NaN,NaN
BG,Sofia,Line 2,Line 2 extension,2012,2016,0,1.3,100,1.3,0,0,1,NaN,Media,21,EUR,2014,3.32,69.72,53.63076923,0,1.287096175,89.7363453,69.02795792,Media,https://seenews.com/news/sofia-subway-launches-13-km-section-with-one-station-533330,NaN,NaN,NaN
BG,Sofia,Line 3,Line 3,2016,2021,0,12,100,12,0,0,12,NaN,Plan,500,EUR,2018,3.32,1660,138.3333333,0,1.21343491,2014.301951,167.8584959,Plan,https://europa.eu/investeu/projects/sofia-metro-line-3_en,NaN,NaN,End year: First 7.8 km opened in 2020: https://www.railwaygazette.com/operations-and-services/most-beautiful-and-cheapest-metro-line-opens-in-sofia/57242.article
BG,Sofia,Line 3,Line 3 extension (Third Stage),2021,NaN,0,3.1,100,3.1,0,0,4,NaN,Plan,112.5,EUR,2021,3.32,373.5,120.483871,0,1.124486105,419.9955604,135.4824388,Trade,https://seenews.com/news/sofia-opens-1125-mln-euro-tender-for-subway-expansion-681553,NaN,NaN,Stations: Sources disagree on 3 vs. 4 but the map clearly shows 4: https://www.metropolitan.bg/en/op-transport-extension/istoriya-razvitie-metro/line-3-sofia-metro
PL,Warsaw,Line 2,Line 2,2010,2015,0,6.5,100,6.5,0,0,7,NaN,Trade,5900,PLN,2012,0.557,3286.3,505.5846154,0,1.327133984,4361.360413,670.978525,Trade,https://www.railwaygazette.com/news/single-view/view/warszawa-opens-second-metro-line.html,NaN,NaN,Cost: Including rolling stock.
PL,Warsaw,Line 2,Line 2 extension to Trocka,2015,2019,0,3.1,100,3.1,0,0,3,NaN,Trade,1070,PLN,2017,0.576,616.32,198.8129032,0,1.243072781,766.1306162,247.1389084,Trade,https://www.railjournal.com/passenger/metros/warsaw-metro-line-m2-reaches-targowek/,NaN,NaN,NaN
PL,Warsaw,Line 2,Line 2 extension to KJ,2015,2020,0,3.4,100,3.4,0,0,3,NaN,Trade,1148,PLN,2017,0.576,661.248,194.4847059,0,1.243072781,821.9793901,241.7586441,Trade,https://www.railwaygazette.com/metros/warszawa-metro-line-m2-goes-west/56191.article,NaN,NaN,Cost: 1100 per https://www.railjournal.com/passenger/metros/warsaw-opens-3-4km-line-m2-extension/
PL,Warsaw,Line 2,Line 2 extension to Bródno,2018,2022,0,4,100,4,0,0,3,NaN,Trade,1400,PLN,2020,0.571,799.4,199.85,0,1.17731472,941.1453872,235.2863468,Trade,https://www.railwaypro.com/wp/a-single-bidder-for-warsaw-metro-line-2-extension/,NaN,NaN,NaN
RO,Bucharest,Line 5,Line 5,2014,2019,0,6.9,100,6.9,0,0,10,NaN,Plan,3122,RON,2016,0.596,1860.712,269.6684058,0,1.269554638,2362.27555,342.3587753,Plan,http://www.metrorex.ro/Resurse/RaportActivitate/Metrorex%20eng%202018.pdf,NaN,NaN,Length: Some media sources say 7.2 km.
RU,Moscow,Line 11,Line 11,2017,2023,0,66.7,100,66.7,0,0,31,NaN,Media,501000,RUB,2018,0.04,20040,300.4497751,0,1.21343491,24317.2356,364.5762459,Media,https://www.rbc.ru/politics/23/11/2017/5a16bd6a9a7947a6f487fe13,NaN,NaN,NaN
RU,Nizhniy Novgorod,Line 2,Line 2 extension,2015,2018,0,2.5,100,2.5,0,0,1,NaN,Trade,11000,RUB,2016,0.041,451,180.4,0,1.269554638,572.5691417,229.0276567,Trade,https://www.metro-report.com/analysis/single-news/view/the-winners-and-losers-of-russian-metros.html,NaN,NaN,"Length: https://www.railwaygazette.com/projects-and-planning/nizhny-novgorod-world-cup-metro-extension-inaugurated/46612.article says 2.2 km., Cost: https://www.railwaygazette.com/projects-and-planning/nizhny-novgorod-world-cup-metro-extension-inaugurated/46612.article says 10,700."
RU,Saint Petersburg,Line 3,Line 3 extension,2014,2018,0,5,100,5,0,0,2,NaN,Trade,37000,RUB,2016,0.041,1517,303.4,0,1.269554638,1925.914386,385.1828772,Trade,https://www.metro-report.com/analysis/single-news/view/the-winners-and-losers-of-russian-metros.html,NaN,NaN,"Cost: https://www.railwaygazette.com/projects-and-planning/st-petersburg-metro-line-3-extended/46528.article says 36,800."
RU,Saint Petersburg,Line 5,Line 5 extension,2013,2019,0,6.4,97,6.2,0,0,3,NaN,Measured,44600,RUB,2016,0.041,1828.6,285.71875,0,1.269554638,2321.507611,362.7355642,Media,http://krti.gov.spb.ru/press/news/52016/?category=17,NaN,NaN,"Cost: 34,000 extension proper, 10,600 for depot expansion for a bigger fleet."
RU,Moscow,Line 1,Line 1 extension,2016,2019,0,11.6,14,1.6,0.14,9.836,4,NaN,Wiki,41032.869,RUB,2018,0.04,1641.31476,141.4926517,0,1.21343491,1991.628628,171.6921231,Plan,https://zakupki.gov.ru/epz/order/notice/oku44/view/supplier-results.html?regNumber=0173200001418000217,NaN,NaN,"Cost: Ex ante news report says 36,000 but explicitly calls it provisional: https://stroi.mos.ru/news/stantsii-sokol-nichieskoi-linii-mietro-v-novoi-moskvie-poluchili-nazvaniia"
CZ,Prague,Line A,Line A extension,2010,2015,0,6.1,97,5.9,0,0.2,4,NaN,Wiki,20200,CZK,2012,0.0752,1519.04,249.0229508,0,1.327133984,2015.969608,330.4868209,Trade,https://www.railjournal.com/passenger/metros/prague-opens-metro-line-a-western-extension/,NaN,NaN,TunnelPer: The terminus station is daylit in an otherwise entirely underground work.
HU,Budapest,Line 4,Line 4,2006,2014,0,7.4,100,7.4,0,0,10,NaN,Trade,452000,HUF,2010,0.00792,3579.84,483.7621622,0,1.397356642,5002.313202,675.9882706,Plan,https://www.europarl.europa.eu/doceo/document//P-8-2017-000299_EN.html,NaN,NaN,NaN
