Country,City,Trainset,Trains,Cars,Train length,Length,Decks,Seats,Top speed,Voltage,Power source,Contract year,Start year,End year,Maintenance,Manufacturer,Currency,Cost,PPP rate,Inflation index,Real cost,Cost/car,Cost/meter,Reference,Metro,,,
SG,Singapore,R151 (base),66,396,138,9108,1,,90,750 V,Third rail,2018,2023,2026,0,Bombardier,SGD,"827,000,000",1,1,827000000,2088383.838,90799.29732,https://www.railwaygazette.com/bombardier-to-supply-396-metro-cars-to-singapore/46863.article,Metro,,,
KR,Busan,Class 1000,48,384,140,6720,1,,80,1500 V,Catenary,2018,2018,2020,0,Hyundai Rotem,KRW,"556,000,000,000",0.00118,1.192,782047360,2036581.667,116376.0952,https://www.railwaygazette.com/modes/busan-metro-train-contract-awarded/47150.article,Metro,,,
FI,Helsinki,Class M300,20,80,88,1760,1,228,80,750 V,Third rail,2012,2014,2016,0,CAF,EUR,"140,400,000",1.32,1.284,237961152,2974514.4,135205.2,https://www.railwaygazette.com/caf-selected-for-helsinki-metro-train-contract/37411.article,Metro,,,
FI,Helsinki,Class M300 (expansion),5,20,88,440,1,228,80,750 V,Third rail,2020,2022,2022,40,CAF,EUR,"39,900,000",1.45,1.064,61557720,3077886,139903.9091,https://www.railwaygazette.com/helsinki-metro-fleet-expansion-and-cab-modifications-agreed/55721.article,Metro,,,
SE,Stockholm,C30 (base),96,384,70,6720,1,140,90,750 V,Third rail,2013,2018,2022,0,Bombardier,SEK,"5,100,000,000",0.116,1.214,718202400,1870318.75,106875.3571,http://web.archive.org/web/20211026145130/https://bombardier.com/en/media/news/bombardier-wins-order-supply-new-generation-movia-metro-fleet-stockholm,Metro,,,
NO,Oslo,Type 77,200,1200,107.5,21500,1,294,160,15000 V,Catenary,2022,2023,2025,0,Alstom,EUR,"1,800,000,000",1.45,1,2610000000,2175000,121395.3488,https://www.railvolution.net/news/coradia-nordic-emus-for-norske-tog,Metro,Chat GPT,,
DK,National,ES/IC5,100,500,109.4,10940,1,300,200,25000 V,Catenary,2021,2024,,15,Alstom,EUR,"2,600,000,000",1.45,1,3770000000,7540000,344606.947,https://www.alstom.com/press-releases-news/2024/6/alstom-and-dsb-receive-prestigious-red-dot-award-2024-design-ic5-coradia-stream-regional-train,Commuter/Regional Rail,https://rollingstockworld.com/passenger-cars/alstom-to-certify-first-ic5-for-denmark/,,
ES,Madrid,Lines 6 and 8 (10000 Series?),40,240,115,4600,1,,110,600/1500 V,Catenary,2024,2024,2027,0,CAF,EUR,"400,000,000",1.45,1,580000000,2416666.667,126086.9565,https://www.railwaygazette.com/metros/madrid-metro-line-6-to-go-driverless/66912.article,Metro,,,
ES,Barcelona,FGC airport Coradia Streams,10,50,110,1100,1,209,120,3000 V,Catenary,2024,,,15,Alstom,EUR,"177,000,000",1.45,1,256650000,5133000,233318.1818,https://www.alstom.com/press-releases-news/2024/11/alstom-unveils-design-new-coradia-stream-train-fgc-barcelona-airport-connection,Metro,https://www.railway-technology.com/news/alstom-coradia-stream-train-fgc/,,
IT,Rome,Tram renewal,121,121,33.5,4053.5,1,68,70,600 V,Catenary,2023,,,0,CAF,EUR,"457,000,000",1.45,1,662650000,5476446.281,163476.0084,https://www.railwaygazette.com/light-rail-and-tram/caf-selected-to-renew-roma-tram-fleet/65108.article,Light Rail,,,
